title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills,description_kw,description_summ
analystspolicy analystssenior analystssenior data analyst,01-02-2023,NZ Ministry for Primary Industries,4.0,,,"Fulltime, Permanent",,False,,Wellington City,Wellington,-41.2889,174.7772,,"research,forecasting","enthusiastic,communication,leadership,organisation,productivity,analytical,analysis,research,innovative,data analysis,critical thinking,flexible",manatū. global. issue. government. sector. policy,kōrero mō te tūranga directorate strategy insight directorate influence set primary sector policy direction regarding productivity sustainability new zealand primary sector data evidence understanding business global operating environment realworld understanding farmingbusiness system activity leveraging relationship across range stakeholder across sector delivering box insight combining expertise across diverse team wideranging work program includes ensuring primary sector access workforce skill necessary future success exploring driver behind rising cost production food price forecasting primary sector production price export build deeper understanding sector likely going delving consumer preference primary sector product new zealand capitalise exploring lever attracting investment primary sector achieve profitable sustainable future working detailed financial physical environmental data understand farmlevel policy impact directorate care people aligning work value interests. mōyou analystpolicy analyst looking excellent analytical skill ability form view based evidence strong written oral communication skill someone give thing go even unsure willingness contribute positively team passion learning asking question understanding legislative process machinery government policy role ability bring te ao māori perspective senior analystsenior policy analyst looking experienced professional think strategically ability analyse complex issue using evidence critical thinking someone confident questioning thing others take granted comfortable constructively challenging others level superb communicator grow team influence comprehensive understanding government process use effectively intellectual professional leadership support colleague ability work tangata whenua meet government obligation te tiriti understanding legislative process machinery government policy role senior data analyst looking experience working stats nz integrated data infrastructure ability pick interest maintainingdeveloping code ability work within policy team apply data policy advice familiarity tax immigration andor education system datasets anzsic06 framework ability translate policy need data requirementsproducts engage stakeholder around mō tō mātou rōpū team recruiting following teams. strategy insight directorate policy analystsanalysts senior analystssenior data analyst role type permanent location wellington salary band position analystpolicy analyst 60331 81624 senior analystsenior policy analystsenior data analyst 92073 124570 tau rourou taku rourou ka os te iwi contribution contribution people prosper collaborative engaging asker question enjoys building using relationship make positive difference new zealand background policy regulatory policy economics business science primary sector data analysis interested contributing productive sustainable future new zealand primary industry join u opportunity lead initiative addressing key strategic issue facing primary sector work tangata whenua sector stakeholder complex policy issue shape future primary sector new zealand alongside enthusiastic collaborative colleagues. science policy science policy team work across mpi wider research science innovation system people public private sector organisation science funding science using science relevant primary industry agriculture biosecurity food safety forestry fisheries. primary sector workforce policy primary sector workforce policy team multidisciplinary team policy data analysts
data engineer,,Westpac,3.9,,,Permanent,,True,Fully,Wellington City,Wellington,-41.2889,174.7772,"azure,oracle,spark,kafka,cloud,hive,aws,git,hbase,unix","etl,pipeline,ai","data analysis,analysis,flexible",opensource. successful. hdfs. technology. working. data,along offer range benefit including 4 week standard holiday 5 additional day wellbeing leave support best additional purchased leave option 4 week per year banking benefit insurance discount superannuation scheme career growth promote internal capability programme recognise star performer generous parental leave top government paid parental leave school holiday subsidy help balance work family school holiday environmental community care programme role sound like apply whangai ka tupu ka puawai nurtured blossom grows. data engineer new12742 flexible working auckland wellington work modern software realtime data agile culture experienced data engineer ready learn opportunity learn best engineer new zealand. regardless excited part future banking appetite learn passionate big data ai cloud streaming technology want hear westpac hei wāhi mahi working westpac people aotearoa new zealand hail many culture backgrounds. westpac mission aotearoa new zealand best professional recognised place talent developed fullest potential aspiring current employee see westpac one place work. understanding unix scripting preferred good working experience several opensource technology big data component hdfs hive apache kafka hbase etc
data analyst,28-01-2023,Rotorua,,,,"Fulltime, Permanent",,False,,Rotorua,Bay of Plenty,-38.1378,176.2514,"excel,sisense,sql,power bi",analytics,"enthusiastic,management,communication,organisation,analytical,data analysis,analysis,decision making,presentation",collection. team. work. experience. skill. data,excellent communication skill strong analytical skill knowledge skill turn raw data information insight would love hear essential skill strong communication skill verbal written excellent microsoft excel skill familiar data warehousing process concept preferable skill experience health sector experience microsoft sql management studio experience data presentation visualisation tool sisense power bi qlik. data analyst decision support unit permanent full time love data looking data analyst based rotorua hospital. position integral providing data analysis used operational management decision making ensure health care system delivers quality health care efficiently supporting datadriven approach healthcare. position support clinical nonclinical colleague throughout organisation supply data analytics also provision data external stakeholders. working te whatu os lake provides great opportunity balance amazing lifestyle rewarding professional experience excellent supportive work environment
data architect  te pae tawhiti,01-02-2023,New Zealand Government,2.6,,,Fulltime,Masters,False,,Wellington City,Wellington,-41.2889,174.7772,cloud,"graph,geospatial,analytics","management,leadership,data management,analytical,decision making",bigger. msd. working. people. data,role contribute provide leadership design development maintenance effective data governance process including embedding māori data governance data architecture design development data management new analytics solution data strategy development implementation focus master data management data migration maintaining communicating uptodate knowledge emerging technology approach bring rigorous intellectual analytical capability ability think strategically work collaboratively team environment technical nontechnical people range business area least five year experience data architecture senior data analyst roles. care wellbeing success people provide supportive inclusive working environment people thrive data architect te pae tawhiti information data analytics team te pae tawhiti future msds future role make bigger better difference new zealanders. single technology stack including legacy current cloud technology platform desirable experience interest advanced analytics graph database geospatial system geospatial data set working data science data ops team position description httpwww. includes developing implementing data strategy architecture data model roadmaps related data information architecture domain. opportunity work closely business stakeholder data information technology architecture lead ensure quality fit purpose data solutions
pa to the head of data operations,27-01-2023,New Zealand Government,2.6,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,,ai,"communication,administration,energetic,flexible",understand. fun. whakatutuki. skill. career. ngā. māori,e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. mā te whai kiko ngā kōtuinga ahungaroa ngāi wi ngāi māori ētahi atu rōpū māori ki te karauna katutuki tēnei. committed continuing partner iwi order find new sustainable solution address long standing systemic crosscutting issue facing māori wider aotearoa new zealand also committed identifying opportunity iwi lead creating enabling environment iwi leverage opportunities. mbie recognises partnership founded te tiriti waitangi māori crown committed giving effect te tiriti waitangi
senior data analyst health quality intelligencetrauma programme,26-01-2023,Health Quality & Safety Commission,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,,,"confidence,management,organisation",whakakohohe. recruiting. experience. safety. network. commission. trauma,wellingtonbased fixedterm 30 june 2025 fulltime ngākau tuwhera open te tāpiri uara adding value whakakohohe energising mō te iwi people kotahitanga together health quality safety commission recruiting experienced senior data analyst enable successful delivery commission trauma programme. senior analyst expected engage external agency including acc national trauma network te whatu os health new zealand te aka whai os māori health authority regional trauma network well wider national international academic community. trauma programme established 2019 contract accident compensation corporation acc commission work national trauma network build contemporary trauma system across new zealand. commission responsible assisting provider across whole health disability sector private public improve service safety quality therefore outcome use service new zealand. role primarily support commission thirdpartyfunded trauma programme may also contribute infection prevention control programme
data scientist,26-01-2023,Absolute IT Recruitment Specialists,,,,"Fulltime, Permanent",Masters,False,,North Shore City,Auckland,,,"python,c","research,analytics","administration,data analysis,analysis,innovative,research",phd. full. error. team. life. data,duty conducting data analysis drug research architecting designing building testing ongoing improvement data analysis capability feature solution liaising expert third party coauthoring paper publishing industry journal providing user experience feedback product capability feature solution skill experience c python proficiency experience implementing various ml algorithm strong skill range data science technique may include aiml data visualisation solid experience latest data analytics theory recent awarded within last 6 month master phd degree qualification data science computer science engineering science similar entitled work full time nz benefit part small team innovator creator doer working something truly lifesaving. rodney north shore database development administration 80000 90000 doe right candidate full time permanent 25 jan 2023 data analysis help save life creative drive success make mark small team innovator waterfront office devonport company exciting medical device startup whose mission help save life avoiding intravenous medication error. click apply button include resume cover letter information please call julian 09 3025314 please note due current border restriction consider application candidate presently based new zealand. role senior member team active role architecture design development validation innovative drug verification solutions. creative drive success make markrather small cog large machine
data engineer,,Beyond Recruitment,3.2,,,Fixed term contract,,False,,Auckland City,Auckland,-36.85,174.7833,"sql,python,hadoop,pyspark,airflow",,"decision making,analysis,reporting,communication",airflow. touch. hybrid. support. engineer. data,provide relevant data support analysis decision making reporting support data request various part business 3 year experience data engineer strong sql skill experience least following hadoop python pyspark airflow experience working agile devops environment excellent communication skills. hiring one nzs top financial intuition looking next contract opportunity get touch role working part wider data engineering team team engineer support work project across different part business. data engineer 4month contract role potential extend auckland based hybrid working 2 day onsite. validate raw data assemble transform data set meet business requirements. would love hear right role apply call ransi ekanayake ransirini
data warehouse architect,26-01-2023,Te Whatu Ora,3.9,,,"Fulltime, Permanent",,False,,Wellington Central,Wellington,,,"cloud,snowflake",pipeline,"reporting,management,communication,leadership,data management,organisation,analysis,customer service,resilience,flexible",thought. apply. service. data,ngā pūkenga ngā wheako skill experience experience field data information architecture track record successfully delivering project knowledge data management design analysis relational data modelling mapping system integration interface design data migration proven ability area governance compliance framework policy thought leadership able apply broad understanding existing emerging technology strong customer service ethic balanced strong commercial acumen ability identify new emerging technology relevance potential value organisation exemplary written oral communication skill able communicate technical nontechnical level handle ambiguity ease bring high degree resilience coupled responsive pragmatic approach work confident apply skill technology advisor leader technology direction ability work cooperatively team build maintain network range group sound understanding machinery government public sector delivery governance structure system role would benefit following understanding significance obligation te tiriti waitangi including apply te tiriti principle meaningful way role competency te ao māori tikanga te reo māori willingness learn grow nau mai uru mai come join u te whatu os committed equity diversity inclusion mean people community serve represented workforce. location flexible anywhere nz service data digital contract permanent full time experience using cloudbased technology data centric drive influence adoption cloudbased technology flexible working option meet lifestyle whanau join data digital team support current future business need help future proof data direction health new zealander ko wai mātou organisation often something happens big like really big. provide advice guidance insight adoption future cloud pipeline underpinned holistic view current emerging trend support current future business need ideal candidate able apply enterprisewide perspective supporting stakeholder derive insight make sound recommendation add value decisionmaking process thereby helping future proof data direction health new zealander mōyou confident communicator foster partnership across business ensure solution optimised across programme work maximise resource costs. te whatu orahealth new zealand te aka whai oramāori health authority together shape delivery health service aotearoa generation come form core modern integrated service looking need whānau. te painga te mahi tahi matou benefit truly rewarding role come work day making difference leading change creating capability across health service
senior advisor data and insights,27-01-2023,New Zealand Government,2.6,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,,ai,"organisational,communication,organisation,training,coaching,flexible",rōpū. successful. job. kiwi. difference. opportunity. team. ngā. mbie. data,discover career purpose mbie discover career purpose mbie lead development data sharing arrangement mbie domestic international partner empower mbie group uplift data sharing capability make real difference new zealander salary 103290 132417 wellington cbd kiwi saverwellness benefit permanent fulltime role tēnei tūranga role mbie exciting opportunity senior advisor data sharing join team supporting director data sharing. e whai tonu ana mātou ki te kōtui atu ki ngā iwi mō te rapu huarahi hou ki te whakaara ngā kaupapakua roa nei e tāmi ana ngāi māori aotearoa whānui ā e whai ana hoki ki te tautohu ngā āheinga kōkiritanga mā ngā iwi te tautoko ngā iwi kia whai mana ake ai ēnei āheinga. e mōhio ana hīkina whakatutuki puea ake te kōtuinga waenganui ngāi māori te karauna te tiriti waitangi ā kei te whai ia ki te whakaū ake te tiriti waitangi. addition supporting expansion mbies data sharing team coaching training peer review quality control ensuring awareness appropriate data sharing practice across wider mbie. working closely director data sharing team develop solution mbie partner data sharing need facilitate crosssystem work partnerships
data architect,27-01-2023,Beyond Recruitment,3.2,,,Fixed term contract,,True,Fully,Wellington City,Wellington,-41.2889,174.7772,,,training,apply. data. seeking. project,work home flexibility free professional indemnity insurance close support throughout duration contract sound like apply send cv word doc tiana. seeking experienced data architect hit ground running defining scope new project. nz however right role looking change please get touch u discussion help. previously worked sensitive information ability handle accordingly. need succeed extensive experience data architecture
data repair officer,31-01-2023,Programmed,2.8,,,Fixed term contract,,False,,Auckland City,Auckland,-36.85,174.7833,,,"work ethic,motivated,energetic,team player",processing. mtou. apply. officer. work. data. team,responsibility include checking validating data accordance standard operating procedure using webbased app review handwritten response subjectively making decision based handwriting repairing data within agreed timeframe service level agreement engaging internal stakeholder working collaboratively resolve issue te mu available work full time end february mid june 2023 day afternoon night shift available attention detail highquality output digital technically savvy comfortable working kpis deadline energetic outgoing person organised manage time well team player enjoys working team mtou u timg partnered persolkelly recruit best candidate processing operation team. 27 28 per hour shift available suit lifestyle monday friday east tamaki location parking work one new zealand significant project kicking end february 2023 mid june 2023 te tnga role purpose data repair officer role timg help process estimated 7 million completed census form within agreed timeline quality standards. looking motivated dedicated people join team positive outlook great work ethic. data repair officer critical ensuring census form corrected processed time. nau mai uru mai sound like ready next challenge apply join inclusive culture part great team working collaborative environment
senior snowflake data engineer  consultant,27-01-2023,H2R Consulting,,,,"Fulltime, Permanent",,False,,,,,,"azure,sql,snowflake,python,sql server,redshift,cloud,aws,google cloud,scala,power bi","etl,pipeline","training,analysis,communication",year. technology. kiwi. sql. work. experienced. data,preferred candidate following skill experience minimum five year experience sql server bi stack experience translating functional requirement technical specification extensive proven commercial experience sql server snowflake tableaupower bi tsql python etl development ssis aws andor azure ability develop new system provide enduser training high attention detail ability analyse data selfconfidence professional manner working key stakeholder understand interpret requirement excellent communication skill verbal written essential. knowledge cloud data warehousing technology snowflake azure sql data warehouse databricks aws redshift google big query exposure etlelt governance tool matillion dbt alteryx collibra ability work complex datasets analyse modelled data find actionable insights. location new zealand type permanent full time reference 662623 experienced snowflake data engineer seeking new permanent career opportunity client rapidly expanding kiwi managed service business seeking experienced snowflake consultant work broad range customers. understanding data architecture data model data migration integration analysis visualisation strong hand experience delivering database solution using advanced sql tsql python scala etc. experience developing end end data pipeline using technology snowflake aws google cloud andor azure
logistics data business manager,27-01-2023,New Zealand Government,2.6,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,react,"logistic,analytics","reporting,dedication,planning,management,communication,data management,organisation,relationship management,training,flexible",citizenship. tuku. arrangement. technology. work. skill. year. experience. nzdf. data,role also responsible developing implementing maintaining pan nzdf logistic data strategy alignment logistics data framework identifying managing root cause logistics data quality problem issue providing improvement option analysing relevant data metric identify important trend project inform decision maker providing recommendation improve nzdf business process associated data management practice leading implementation recommendation delivering training guidance business delivery function element defence logistics command logistics data framework business processes. bring excellent relationship management skill ability influence lead others experience delivering data strategy improving data maturity understanding data governance process methodology framework well understanding data architecture indepth knowledge information management focus logistics information management tool particular sap another corporate erp system experience operating logistics environment including erp system experience. please note applicant must legally entitled work new zealand nz able obtain maintain required level nz government security clearance position applied minimum citizenship residency criterion security clearance granted nz defence force follows higher level security clearance preferably nz citizen resided continuously country last 10 year citizen andor resided continuously one following country last 10 year either australia canada nz uk usa background history verifiable assessed appropriate nzsis towards recommendation suitability security clearance higher level. responsible developing managing implementation logistics data strategy logistics data maturity improvement plan meet nzdf 2025 strategy dlc campaign plan ongoing requirement working alongside logistics data analytics architect. mō te tūnga role logistics data business manager accountable managing quality logistics data used enterprise resource planning erp information communication technology ict system wider nzdf logistics domain
data engineer  consultants  senior  lead,28-01-2023,Absolute IT Recruitment Specialists,,,,"Fulltime, Permanent",,False,,Auckland City,Auckland,-36.85,174.7833,"azure,sql,snowflake,sql server,cloud,aws","etl,analytics","training,business intelligence,reporting,consulting",apply. commercial. experience. business. cloud. data,developing data transformation routine using etl tool technique migrating data legacy data platform cloud data platform designing developing relational database collecting data involved aspect project lifecycle including strategy roadmapping architecture implementation gain maximum exposure set successful consulting career. diverse project throughout nz salary 160k benefit senior data engineersconsultants 170k benefit lead engineersconsultants top tier data engineering consulting aligned data etl bi analytics using cloud based data platforms. business intelligence data engineering 5yrs minimum data engineering data migration ensuring data pipelines. recent year seen working aws azure cloud based solution azure synapse data factory data lake potentially experience modern data platform snowflake. technology interest data reporting platform development using example m sql server bi stack datastage teradata snowflake aws azure related data service offer base 170000 lead 160000 senior 135000 intermediatesenior kiwisaver top salary lot staff benefit insurance training opportunities
senior database administrator  west coast,31-01-2023,New Zealand Government,2.6,,,"Fulltime, Permanent",,False,,,West Coast,,,"azure,sql,oracle,linux,cloud,aws,unix",,"coaching,mentoring,administration,organisation",add. surf. city. ngā. tai. role. west,sound experience window server large complex organisation scripting programming background experience cloud service azure aws hl7 messaging rhapsody plus participate oncall afterhours rostermō mātou u ehara taku toa takitahi engari toa takitini strength strength one strength many ko ngā tāngata te mātua mahi putting people heart committed honouring te tiriti waitangi principle ensuring partnership māori forefront conversations. ehara taku toa takitahi engari toa takitini strength strength one strength many escape hustle bustle city life come work beautiful west coast new zealand south island stunning landscape outdoor adventure opportunity relaxed friendly community perfect place start advance career. ngā hua benefit working te tai poutini west coast work te tai poutini west coast part wider whānau support along journey. nz applicant progressed apply sound like please apply range clinical nonclinical role wcdhb cdhb could place please visit career website role find ideal fit within west coast canterbury district health board. culture te tai poutini west coast driven ā mātou uara value care respect others manaaki te whakaute te tangata
data manager  cardiothoracic,26-01-2023,New Zealand Government,2.6,,,"Fulltime, Permanent",Masters,False,,,Waikato,,,,,"reporting,organisational,time management,management,communication,data management,organisation,interpersonal communication,flexible",mōyou. setting. busy. management. role. waikato,te whatu os health new zealand te aka whai os māori health authority together shape delivery health service aotearoa new zealand generation come form core modern integrated service looking need whānau. working waikato hospital detail permanent 80 hour per fortnight part national transformation health looking next great career move te whiwhinga mahi opportunity cardiothoracic department busy service responsible delivering care people need u critical life life family loved ones. te whatu os health new zealand waikato team 8000 working across waikato everyone play vital role care patient directly nondirectly. waikato hospital sits whenua gifted waikato iwi situated bank mighty waikato awa hamilton new zealand largest metropolitan inland city. te whatu os waikato serf largest māori population third largest pacific population aotearoa new zealand
portfolio and data risk manager,26-01-2023,Beyond Recruitment,3.2,,,Fixed term contract,,True,Fully,Auckland City,Auckland,-36.85,174.7833,"vba,excel,sql",,"reporting,relationship building,project management,management,organisation,analytical,analysis,stakeholder management",wfh. sql. good. analytical. put. key. change. risk,risk project management stakeholder management relationship building ideally financial service experience ideally exposure risk analysis must good communicator commercially minded information. key technical skill experience sa advanced excel vba macro sql risk analysis reporting insight providing recommendation excellent opportunity grow career critical role high profile organisation. great benefit including medical insurance volunteer day 23 day annual leave wfh opportunity heap role interest find detail please contact liam 027 56 66561 liam. provide opportunity use analytical skill provide insight support strategic growth ass appetite risk. part due one team progressing secondment need arisen portfolio data risk specialist
