title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills
data analyst,28-01-2023,Department of Justice and Community Safety,3.4,96129.5,year,Fulltime,,False,,Melbourne City Centre,Victoria,,,"excel,tableau,r,sql,python,power bi","statistics,research,analytics,econometrics","reporting,planning,innovative,research,communication,management,analysis,confidence,presentation,it,data management"
data analyst,26-01-2023,Australian National University,4.2,93529.0,year,Fulltime,,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,,"classification,analytics","decision making,motivated,reporting,planning,innovative,administration,attention to detail,communication,analysis,analytical,data analysis"
data analyst,25-01-2023,Assetlink,3.0,,,"Contract, Fixed term",Bachelors,False,,Sydney,New South Wales,-33.865,151.2094,"excel,sql,python,r","recommendations,statistics","decision making,management communication,reporting,commercial awareness,attention to detail,communication,maths,flexible,project management,verbal communication,management,written communication,analysis,time management,adaptability,productivity,administration,data analysis"
hr reporting  data analyst,31-01-2023,QIC Limited,,,,"Fulltime, Fixed term",,False,,Brisbane,Queensland,-27.4678,153.0281,"excel,oracle,cloud,powerbi",,"training,reporting,planning,innovative,flexible,it"
data analyst,26-01-2023,Asahi Beverages,3.9,,,"Fulltime, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,,"segmentation,clustering,analytics","literacy,decision making,organisation"
data analyst,26-01-2023,AllSquares,,,,"Fulltime, Permanent",,True,Fully,,,,,"sql,postgres","analytics,geospatial","it,critical thinking,communication"
data entry clerk,31-01-2023,Labourpower Recruitment Services,3.0,33.5,hour,"Contract, Fixed term",,False,,Port Of Brisbane,Queensland,,,,,"work ethic,consulting,data entry,administration,energetic"
hris data analyst,26-01-2023,Hudson Australia,,57.5,hour,"Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,"excel,power bi",dashboard,"reporting,planning"
data and reporting officer research,31-01-2023,Bond University,4.2,89085.0,year,Fulltime,,False,,Robina,Queensland,,,,"dashboard,research,analytics","business intelligence,reporting,innovative,research,communication,project management,management,data management,analytical"
data analyst,31-01-2023,Digitalent,,,,"Contract, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,,,
data engineer biodiversity information,31-01-2023,NSW Government -Environment and Heritage Group,,117955.0,year,"Fulltime, Permanent",,False,,Sydney,New South Wales,-33.865,151.2094,"powerbi,sql,sql server",bioinformatics,"planning,writing,flexible,management,analysis,data management,organisation"
15521i  data entry officer a02 equivalent,26-01-2023,Top Office Group,,,,Fixed term,,False,,Brisbane Central Business District,Queensland,,,,,"flexible,attention to detail,data entry"
data analyst,31-01-2023,Bluefin Resources,,500.0,day,"Contract, Fixed term",,True,Fully,Sydney,New South Wales,-33.865,151.2094,"excel,powerbi","kpi,statistics","decision making,reporting,innovative,communication,stakeholder management,management,presenting,confidence,it"
data engineer,,Bupa,3.3,,,Fulltime,,True,Fully,Melbourne,Victoria,-37.8136,144.9631,"sql,sas,python,cloud,azure","recommendations,analytics","training,resilience,flexible,management,data management,it,analytical"
reporting and data analyst,28-01-2023,Arc Infrastructure,,,,"Fulltime, Permanent",,False,,Perth Airport,Western Australia,,,"excel,powerbi",analytics,"decision making,reporting,writing,risk management,analytical,management,presenting,analysis,confidence,coordination,written communication,administration,data analysis"
data management and analysis consultant  education systems engagement,26-01-2023,Education,,,,Fulltime,,False,,Brisbane,Queensland,-27.4678,153.0281,,,"decision making,training,reporting,creativity,resilience,management,analysis,data management,critical thinking,organisation"
expressions of interest  data engineer data  analytics,30-01-2023,EY,3.9,90000.0,year,,,False,,Sydney,New South Wales,-33.865,151.2094,"r,sql,sas,kafka,python,cognos,spark,powerbi,aws,cloud,azure","pipeline,etl,analytics","coordination,it,consulting,reporting"
junior data engineeretl consultant,25-01-2023,IQVIA,3.8,,,Fulltime,,False,,St Leonards,New South Wales,,,"sql server,sql,power bi","etl,visualization,research,analytics","business intelligence,consulting,enthusiastic,communication,research,management,analytical"
data engineer,31-01-2023,Allianz Technology,3.9,,,"Fulltime, Permanent",,True,Hybrid,North Sydney,New South Wales,,,"scala,sql,python,spark,hive,cloud",,"business intelligence,reporting,collaboration,listening,management,troubleshooting,confidence,data management,it,organisation"
data entry  administration,31-01-2023,Chandler Macleod,3.7,,,"Contract, Fixed term",,False,,Brisbane Central Business District,Queensland,,,excel,,"training,attention to detail,communication,customer service,administration"
lead spatial data,30-01-2023,Greater Western Water,3.3,,,"Fulltime, Parttime",,True,Fully,Footscray,Victoria,,,"sql,python","gis,etl","reporting,customer service,management,analysis,data management"
application engineers  data centre projects,01-02-2023,Leidos,,,,Fulltime,,True,Fully,Scoresby,Victoria,,,,,"motivated,organisation"
data scientist,25-01-2023,Rio Tinto,3.9,,,Permanent,Masters,False,,Perth,Western Australia,,,"h2o,scala,r,python,aws,pytorch,tensorflow,scikit,cloud,azure","time series,machine learning,research,artificial intelligence,natural language processing,analytics,statistics","reporting,creativity,research,flexible,leadership,analysis,it,productivity,analytical,data analysis"
expressions of interest  senior data strategy  delivery lead  data  analytics,01-02-2023,EY,3.9,150000.0,year,,,False,,Brisbane,Queensland,-27.4678,153.0281,,analytics,"consulting,stakeholder management,project management,management,it"
data analyst,25-01-2023,Phillip Riley,,,,Fulltime,,True,Fully,Perth,Western Australia,,,"excel,sql,vba,power bi","research,analytics","decision making,research,writing,report writing,management,analysis"
data scientist,25-01-2023,Michael Page,3.7,,,Permanent,,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,"c,r,linux,cognos,hana,azure",,"training,consulting,communication,verbal communication,management,data management,it"
azure data factory  melbourn location,26-01-2023,Panasia Group,,726.0,day,"Fulltime, Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,"sql,pyspark,kafka,azure",,"data analysis,communication,planning"
transport senior data analyst,31-01-2023,Transport For NSW,3.7,130877.0,year,Fulltime,,True,Fully,Parramatta,New South Wales,,,,,"planning,collaboration,flexible,management,analysis,it,organisation"
data analyst,01-02-2023,Careers at Eucalyptus,,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"excel,python,tableau,r",analytics,"decision making,reporting,consulting,communication,presenting,verbal communication,resourceful,organisation"
data analytics  visualization instructor  university of adelaide,27-01-2023,edX Boot Camps,,43.92,hour,Parttime,,True,Fully,Adelaide Region,South Australia,,,"mysql,javascript,python,pandas,hadoop,numpy","visualization,machine learning,analytics","business intelligence,training,innovative,mentoring,empathetic"
senior data scientist,31-01-2023,NSW Government -Planning,,122136.0,year,Fulltime,,False,,New South Wales,,,,sql,"ai,analytics","decision making,training,planning,flexible,analysis,organisation"
junior data scientist,01-02-2023,Precision Sourcing,4.9,,,"Fulltime, Permanent",,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"vba,sql,gcp,python,aws,azure","ai,artificial intelligence,machine learning,analytics","planning,innovative,communication,maths,analysis,it,organisation,data analysis"
data analyst,01-02-2023,L'Oreal,4.1,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"excel,tableau,r,google analytics,sql,python,powerbi,cloud,google cloud,bigquery","machine learning,analytics","consulting,communication,stakeholder management,analytical,flexible,management,it,organisation"
data analyst credit bureau,26-01-2023,Experian,3.6,,,Fulltime,,False,,North Sydney,New South Wales,,,"sql,sas","recommendations,analytics","training,organisational,collaboration,attention to detail,personal development,communication,flexible,project management,management,analysis,time management,written communication,teamwork,organisation"
data insights  analytics lead,26-01-2023,AGL Energy,3.7,,,Fulltime,Bachelors,True,Hybrid,Melbourne,Victoria,-37.8136,144.9631,"excel,tableau,sql,power bi,ssrs",analytics,"decision making,business intelligence,training,coaching,reporting,risk management,flexible,mentoring,management,analysis,it,analytical"
data quality analyst,26-01-2023,Michael Page,3.7,,,,,False,,Sydney,New South Wales,-33.865,151.2094,,,analytical
intermediate data scientist,25-01-2023,Verse Group,,900.0,day,"Contract, Fixed term",,False,,Perth,Western Australia,,,"sql,python,azure,cloud","pipeline,etl,machine learning","business intelligence,organisation"
data steward  insights  analytics team,31-01-2023,West Recruitment,,160000.0,year,Fulltime,Masters,True,Fully,Parramatta,New South Wales,,,"excel,sql,cloud,power bi",analytics,"training,reporting,flexible,management,data management,it"
data engineer,31-01-2023,Clarrow,,,,Fulltime,,True,Hybrid,Melbourne,Victoria,-37.8136,144.9631,"scala,python,airflow,snowflake,kubernetes,java,cloud,azure",analytics,"analytical,organisation"
data modeller,27-01-2023,Bupa,3.3,,,Fulltime,,True,Fully,Melbourne,Victoria,-37.8136,144.9631,"spark,sql,cloud,azure","etl,analytics","business intelligence,training,resilience,flexible,project management,management,data management,it"
education data specialist,25-01-2023,Charles Sturt University,4.1,122884.0,year,Fulltime,,False,,,,,,"excel,spss,tableau","recommendations,statistics,research,analytics","training,planning,research,communication,flexible,management,leadership,analysis,presentation,data analysis"
data mining consultant,31-01-2023,Westpac Group,4.0,,,Fulltime,Bachelors,False,,,,,,"excel,sql,powerpoint","data mining,recommendations,etl,hypothesis","training,planning,consulting,communication,flexible,project management,management,presenting,it"
research data and evidence manager,28-01-2023,SilverChain,3.6,,,Fulltime,Masters,True,Temporarily,Adelaide Region,South Australia,,,"spss,sas,azure,power bi","dashboard,research,recommendations,analytics,statistics","decision making,business intelligence,training,reporting,attention to detail,research,analytical,management,analysis,organisation,data analysis"
data analyst,26-01-2023,Ayan Infotech,,,,Contract,,False,,Melbourne,Victoria,-37.8136,144.9631,"cloud,tableau,bigquery",,"business intelligence,reporting,writing,stakeholder management,management,analysis,it"
principal data analyst  comprehensive breast cancer institute,28-01-2023,Queensland Health,3.7,,,Fixed term,,False,,Brisbane,Queensland,-27.4678,153.0281,excel,research,"reporting,innovative,resilience,research,flexible,analysis,organisation"
workday data lead,31-01-2023,Deloitte,3.9,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"excel,sql,oracle","etl,cleansing","respectful,decision making,business analysis,collaboration,consulting,communication,leadership,analysis,troubleshooting"
manager data  insights asset lifecycle planning,31-01-2023,"Department of Families, Fairness and Housing",2.5,,,Fulltime,,False,,Melbourne City Centre,Victoria,,,,,"decision making,organisational,people management,analytical,management,leadership,leading a team,organisation"
manager data enablement,26-01-2023,NSW Government -Department of Customer Service,3.7,134411.0,year,"Permanent, Temp to perm",,False,,Sydney,New South Wales,-33.865,151.2094,,analytics,"innovative,customer service,flexible,management,leadership,data management,it,relationship management,organisation"
senior data analyst  12month contract,01-02-2023,Flybuys,,,,"Fulltime, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,"powerpoint,sql,power bi,snowflake","recommendations,analytics","decision making,analytical,analysis"
senior data and innovation analyst,01-02-2023,Monash University,4.1,113985.0,year,Fulltime,,False,,Clayton,Victoria,,,,research,"decision making,reporting,research,customer service,flexible,analysis,analytical,data analysis"
project manager  transport data,28-01-2023,City of Gold Coast,3.6,129442.0,year,Fulltime,,True,Hybrid,Nerang,Queensland,-27.9956,153.322,"powerbi,c",classification,"business intelligence,planning,flexible,project management,management,presenting,analysis,it,administration"
data warehouse developer,28-01-2023,Canon,3.7,,,,,True,Fully,Sydney,New South Wales,-33.865,151.2094,"sql server,sql,c,power bi","etl,tuning","business intelligence,training,reporting,organisation,flexible,analysis,it,administration"
data entry  administrator,28-01-2023,Randstad,3.7,,,,,True,Fully,Williams Landing,Victoria,,,excel,,"flexible,coordination,it,data entry"
junior  midlevel data analyst,31-01-2023,Robert Walters,3.7,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"excel,powerbi",,"presentation,data analysis,business intelligence,analysis"
project manager enterprise data warehouse,01-02-2023,SA Government -DEPARTMENT FOR CORRECTIONAL...,,119773.0,year,"Contract, Fixed term",,False,,Adelaide CBD,South Australia,,,,,"business intelligence,reporting,planning,flexible,project management,management,it,administration"
sales and data analyst,01-02-2023,people2people,4.3,,,Fulltime,Masters,True,Hybrid,Parramatta,New South Wales,,,"excel,power bi",,"reporting,innovative,attention to detail,communication,stakeholder management,management,time management,analytical,data analysis"
data analyst,26-01-2023,FourQuarters,,850.0,day,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,"powerbi,sql,python","data mining,segmentation,research,analytics","research,reporting,analysis"
data analytics specialist  sql developer,01-02-2023,LJM InfoTech Pty Ltd.,,,,,,False,,Sydney,New South Wales,-33.865,151.2094,"sql,cloud,power bi,google analytics","etl,analytics","it,communication,business intelligence"
research data specialist  web developer,31-01-2023,University of Melbourne,4.3,120568.0,year,Fulltime,Masters,False,,Parkville,Victoria,,,"javascript,django,python,flask","pipeline,bioinformatics,research,analytics","collaboration,networking,research,communication,flexible,verbal communication,management,leadership,analysis,presentation,it,data entry"
data analyst  sas sql,28-01-2023,FourQuarters,,145000.0,year,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"sql,sas",recommendations,"flexible,presenting,analysis,organisation,data analysis"
database administrator,28-01-2023,Talent International,4.4,,,Fulltime,,False,,Adelaide Region,South Australia,,,"unix,sql server,sql,oracle,postgresql",research,"research,communication,management,data management,organisation"
senior consultant data science,31-01-2023,NAB - National Australia Bank,3.6,,,"Fulltime, Permanent",,True,Fully,Melbourne,Victoria,-37.8136,144.9631,"excel,sql,python,powerbi","machine learning,research,analytics","research,project management,management,it,analytical"
senior data specialist,25-01-2023,Ventia Pty Limited,2.4,,,Permanent,Masters,True,Fully,Perth,Western Australia,,,"sql,power bi","pipeline,analytics","reporting,innovative,flexible,management,troubleshooting,analysis,it,organisation,data analysis"
data analyst  part time,27-01-2023,Starlight Children's Foundation,,,,Parttime,PhD or Doctorate,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"excel,salesforce,power bi","segmentation,statistics,research,regression","innovative,research,communication,analytical,flexible,management,presenting,analysis,data management,written communication,organisation,data analysis"
database administrator,01-02-2023,Lloyd Recruitment Group,,120000.0,year,"Fulltime, Permanent",,False,,Perth,Western Australia,,,"sql,python,power bi",,"team player,reporting,communication,written communication,administration"
data strategy and delivery manager,26-01-2023,Save the Children Australia,4.1,,,"Fulltime, Permanent",,True,Fully,Carlton,Victoria,,,,"machine learning,analytics","flexible,leadership,analysis,it,organisation,data analysis"
sql database administrator dba,31-01-2023,The Movement Advisory,,1000.0,week,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,"sql,linux",,"innovative,attention to detail,project management,management,it,administration"
data scientist,25-01-2023,Jetstar,3.7,,,"Fulltime, Permanent",,False,,Melbourne,Victoria,-37.8136,144.9631,"r,sql,matlab,python,aws,cloud","machine learning,regression,ab testing,forecasting,analytics,classification,statistics","decision making,communication,organisation,flexible,management,analysis,presentation,analytical"
big data developer,28-01-2023,ZoneIT Solutions,,125000.0,year,"Fulltime, Permanent",,False,,Sydney,New South Wales,-33.865,151.2094,,research,"research,communication,stakeholder management,analysis,analytical"
data scientist,26-01-2023,Talent Insights Group,,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,"gcp,cloud","machine learning,analytics",
data platform architect,25-01-2023,Optus,3.7,,,,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"unix,cloud","hypothesis,analytics","training,reporting,mentoring,management,analysis,data management,it,analytical"
sql database administrator,26-01-2023,Infinity Pro,,1265.0,day,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,"sql server,sql,cloud,azure",tuning,"management,administration"
senior data analyst,01-02-2023,Telstra,4.0,,,"Fulltime, Permanent",,False,,,,,,"tableau,r,sql,oracle,python,power bi,php,cloud,azure","machine learning,ai,research,artificial intelligence,analytics,deep learning","decision making,planning,innovative,business acumen,research,stakeholder management,flexible,maths,management,negotiation,analysis,relationship management,presentation,it,productivity,analytical,data analysis"
data engineer,28-01-2023,INX Software,,,,Fulltime,,True,Hybrid,Perth,Western Australia,,,"github,scala,sagemaker,javascript,sql,gcp,oracle,python,kafka,java,snowflake,spark,sql server,aws,postgres,lambda,cloud,azure","machine learning,analytics","reporting,stakeholder management,flexible,management,analysis,it,data analysis"
data platform engineer  sydney location,26-01-2023,Panasia Group,,600.0,day,"Fulltime, Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,"spark,sql,python,azure",etl,planning
senior analyst data science,26-01-2023,NSW Government -Public Service Commission,,,,"Fulltime, Parttime",,False,,Sydney,New South Wales,-33.865,151.2094,,"machine learning,cluster,forecasting,neural network,analytics,graph,statistics","planning,independent,communication,flexible,management,analysis,data management,it"
technical business analyst  data protection,28-01-2023,ING,3.9,,,,Bachelors,False,,Sydney,New South Wales,-33.865,151.2094,,analytics,"reasoning,management,analysis,data management,advocacy"
data engineer  data integration  15 months hire  sydney,26-01-2023,IBM,3.9,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,cloud,"etl,ai,blockchain,artificial intelligence,tuning","innovative,collaboration,consulting,writing,dedication,management,analysis,data analysis"
informatica developerdata migration,26-01-2023,Carecone,,,,"Fulltime, Permanent",,False,,North Sydney,New South Wales,,,"sql server,sql","etl,recommendations","consulting,analytical,analysis"
culinary data support,28-01-2023,dnata catering,3.5,,,Contract,,False,,Pinkenba,Queensland,,,excel,,"organisational,attention to detail,communication,management,it"
data analyst,26-01-2023,nib NZ,,,,Fulltime,,True,Hybrid,Newcastle,New South Wales,-32.9167,151.75,"sql server,sql,sas,snowflake",analytics,"business intelligence,organisational,innovative,attention to detail,communication,flexible,management,analysis,time management,data analysis"
senior data modeller,31-01-2023,NAB - National Australia Bank,3.6,,,"Fulltime, Permanent",,True,Hybrid,Melbourne,Victoria,-37.8136,144.9631,"excel,sql,cloud",,"innovative,organisation,flexible,leadership,it,relationship management,analytical"
training specialist  data governance  apra,31-01-2023,Bluefin Resources,,700.0,day,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,,,"collaboration,training,management,communication"
football data journalist,30-01-2023,DoScouting,,,,Freelance,,False,,Melton,Victoria,-37.6833,144.5833,,,"motivated,analysis"
application database administrator up to 130000 package,26-01-2023,Circuit Recruitment,,130000.0,year,"Fulltime, Permanent",,False,,Sydney,New South Wales,-33.865,151.2094,"sql server,sql,oracle",tuning,
clinical data analyst,26-01-2023,Western Sydney Local Health District,3.1,112189.5,year,"Fulltime, Permanent",,False,,Blacktown,New South Wales,,,"excel,sql",classification,"reporting,collaboration,communication,management,analysis,data management,time management"
director data governance,28-01-2023,AUSTRAC,,129776.0,year,,,False,,Sydney,New South Wales,-33.865,151.2094,,analytics,"respectful,reporting,innovative,resilience,management,leadership,data management,it,organisation"
office admin and data entry,25-01-2023,Starling Services,,32.5,hour,Fulltime,,False,,Liverpool,New South Wales,,,"excel,powerpoint",,"attention to detail,enthusiastic,communication,office administration,management,it,data entry,administration"
digital data analyst,31-01-2023,Aurec,4.0,,,Fulltime,,True,Fully,Sydney,New South Wales,-33.865,151.2094,"tableau,google analytics","dashboard,ab testing,analytics","relationship building,stakeholder management,flexible,management,analysis,it,organisation"
senior data engineer,31-01-2023,Power It services,,109518.0,year,"Fulltime, Contract, Permanent, Fixed term, Temp to perm",,False,,Sydney,New South Wales,-33.865,151.2094,"tableau,sql server,sql,powerbi,hadoop","etl,visualization","communication,planning"
database engineer,31-01-2023,Ontrack Systems Aus Pty Ltd,,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,cloud,,"analysis,management,planning"
data  client delivery specialist  derivatives,25-01-2023,Northern Trust Corp.,3.8,,,,,False,,Melbourne,Victoria,-37.8136,144.9631,sql,,"diplomacy,reporting,innovative,communication,flexible,management,data management,it"
data and reporting manager,28-01-2023,Workskil Australia LTD,4.0,,,Fulltime,,False,,Melrose Park,South Australia,,,"cloud,azure,power bi",etl,"reporting,collaboration,innovative,customer service,mentoring,organisation"
data governance or data architecture manager,31-01-2023,PRA,,140000.0,year,Fulltime,,True,Hybrid,Brisbane,Queensland,-27.4678,153.0281,,research,"business analysis,research,flexible,management,analysis,data management,organisation"
expressions of interest  senior data modeller  data  analytics,27-01-2023,EY,3.9,,,,,False,,Canberra,Australian Capital Territory,-35.2931,149.1269,,analytics,"it,consulting,business intelligence"
product data technical analys,,Coles Group,3.8,,,Fulltime,,True,Temporarily,Hawthorn East,Victoria,,,"excel,sql,power bi",dashboard,"organisational,reporting,attention to detail,communication,flexible,management,data management"
senior big data engineer,28-01-2023,XPT Software Australia PTY Ltd,,,,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,"tableau,sql server,sql,powerbi,hadoop","etl,visualization","it,communication"
technical data lead,26-01-2023,Ralston Recruitment,,145000.0,year,Fulltime,,False,,Brisbane,Queensland,-27.4678,153.0281,"sql server,sql,net,c",recommendations,"risk management,management,troubleshooting,leadership,data management,organisation"
data engineer,31-01-2023,XPT Software Australia PTY Ltd,,,,"Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,"unix,github,scala,redshift,sql,pyspark,python,snowflake,spark,hadoop,aws,lambda,hive,cloud",pipeline,"it,consulting,mentoring,analysis"
test data engineer,28-01-2023,XPT Software Australia PTY Ltd,,,,"Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,sql,"tuning,regression","writing,management,analysis,data management,it,analytical,data analysis"
business analyst  data engineer,31-01-2023,NSW Treasury,3.7,,,,,False,,Sydney,New South Wales,-33.865,151.2094,,,"respectful,flexible,management,confidence,organisation"
senior data and insights specialist  power bi  contract,26-01-2023,PRA,,912.5,week,"Contract, Fixed term",,False,,Melbourne,Victoria,-37.8136,144.9631,power bi,,"analytical,organisation"
data risk reporting and transformation,28-01-2023,EY,3.9,,,,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"vba,sql,sas,python",analytics,"team player,reporting,communication,risk management,management,data management,presentation,it"
head of data science,25-01-2023,NAB - National Australia Bank,3.6,,,"Fulltime, Permanent",Masters,False,,Melbourne,Victoria,-37.8136,144.9631,,"machine learning,analytics","mentoring,organisational"
data policies service delivery lead,30-01-2023,EY,3.9,,,,,False,,Sydney,New South Wales,-33.865,151.2094,,,"coaching,consulting,communication,risk management,flexible,management,leadership,analysis,confidence,it"
data modeler,26-01-2023,Full Circle Partners,3.7,,,"Contract, Fixed term",,True,Hybrid,Perth,Western Australia,,,"python,aws,snowflake",,
database administrator sqlazure,28-01-2023,Robert Walters,3.7,,,,,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"sql,azure",,"reporting,management,administration"
test data specialist tdm,01-02-2023,Opus Recruitment Solutions,,,,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,,,"data management,it,management,reporting"
oracle dba  oracle database admin,25-01-2023,Infinity Pro,,1265.0,day,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,"linux,oracle",tuning,"management,administration"
principal analyst  superannuation data transformation,28-01-2023,APRA,4.0,,,,,False,,Sydney,New South Wales,-33.865,151.2094,,research,"business writing,reporting,research,writing,management,analysis,it,analytical"
data engineer  sydney or brisbane,01-02-2023,Mane Consulting,,,,"Contract, Fixed term",,True,Hybrid,Sydney,New South Wales,-33.865,151.2094,"tableau,redshift,sql,airflow,power bi,spark,aws,lambda,cloud",cleaning,
lead data enginner,28-01-2023,Macquarie Group Limited,3.8,,,"Fulltime, Permanent",,False,,Sydney,New South Wales,-33.865,151.2094,excel,,"innovative,communication,stakeholder management,flexible,management,analysis,it,relationship management,leading a team"
team lead data analytics,25-01-2023,CitiPower and Powercor,,,,"Fulltime, Permanent",,False,,Mount Waverley,Victoria,,,"sql,python","gis,dashboard,analytics,artificial intelligence","business intelligence,reporting,innovative,management,networking,analytical"
enterprise data warehouse edw engineer x2  el1 level,26-01-2023,Halcyon Knights,5.0,133.0,day,"Contract, Fixed term",,True,Fully,Sydney,New South Wales,-33.865,151.2094,,analytics,"training,leadership,analysis"
data and integration analyst,01-02-2023,Southern Cross Care QLD,3.4,15990.0,month,Fulltime,,True,Hybrid,Upper Mount Gravatt,Queensland,,,"sql server,sql,power bi","etl,dashboard,machine learning,visualization,unsupervised,artificial intelligence","cooperation,training,organisational,reporting,independent,communication,customer service,analytical,project management,management,it,organisation"
senior data migration analyst,31-01-2023,Northbridge Recruitment,,800.0,day,"Contract, Fixed term",,True,Hybrid,Melbourne,Victoria,-37.8136,144.9631,"excel,sql,tableau,power bi","cleansing,analytics","flexible,data analysis,analysis"
el 1 st level 5  rocket motor testing instrumentation data and control specialist,27-01-2023,Australian Government Department of Defence,4.1,115119.5,year,,,False,,Edinburgh,South Australia,,,,research,"motivated,team player,reporting,resilience,research,communication,analysis,it,data analysis"
management consultant  data and analytics,26-01-2023,InfoCentric,4.3,,,Fulltime,Masters,False,,Melbourne,Victoria,-37.8136,144.9631,"cloud,aws,azure,snowflake","ai,machine learning,analytics","training,planning,collaboration,consulting,communication,flexible,management"
enterprise data warehouse engineer  etl  sql,26-01-2023,HiTech Personnel,,,,"Contract, Fixed term",,True,Hybrid,New South Wales,,,,sql,"etl,tuning","flexible,training"
